clip_id,action_name,label,user,trial,Depth_Color,IR,Thermal,Skeleton,IMU,Radar,fold
0_Wash_face/user16/1-1-1,0_Wash_face,0,user16,1-1-1,Depth_Color/0_Wash_face/user16/1-1-1,IR/0_Wash_face/user16/1-1-1,Thermal/0_Wash_face/user16/1-1-1,Skeleton/0_Wash_face/user16/1-1-1,IMU/0_Wash_face/user16/1-1-1,Radar/0_Wash_face/user16/1-1-1,0
0_Wash_face/user16/1-1-2,0_Wash_face,0,user16,1-1-2,Depth_Color/0_Wash_face/user16/1-1-2,IR/0_Wash_face/user16/1-1-2,Thermal/0_Wash_face/user16/1-1-2,Skeleton/0_Wash_face/user16/1-1-2,IMU/0_Wash_face/user16/1-1-2,Radar/0_Wash_face/user16/1-1-2,0
0_Wash_face/user16/1-1-3,0_Wash_face,0,user16,1-1-3,Depth_Color/0_Wash_face/user16/1-1-3,IR/0_Wash_face/user16/1-1-3,Thermal/0_Wash_face/user16/1-1-3,Skeleton/0_Wash_face/user16/1-1-3,IMU/0_Wash_face/user16/1-1-3,Radar/0_Wash_face/user16/1-1-3,0
0_Wash_face/user18/7-1-1,0_Wash_face,0,user18,7-1-1,Depth_Color/0_Wash_face/user18/7-1-1,IR/0_Wash_face/user18/7-1-1,Thermal/0_Wash_face/user18/7-1-1,Skeleton/0_Wash_face/user18/7-1-1,IMU/0_Wash_face/user18/7-1-1,Radar/0_Wash_face/user18/7-1-1,1
0_Wash_face/user18/7-1-2,0_Wash_face,0,user18,7-1-2,Depth_Color/0_Wash_face/user18/7-1-2,IR/0_Wash_face/user18/7-1-2,Thermal/0_Wash_face/user18/7-1-2,Skeleton/0_Wash_face/user18/7-1-2,IMU/0_Wash_face/user18/7-1-2,Radar/0_Wash_face/user18/7-1-2,1
0_Wash_face/user18/7-1-3,0_Wash_face,0,user18,7-1-3,Depth_Color/0_Wash_face/user18/7-1-3,IR/0_Wash_face/user18/7-1-3,Thermal/0_Wash_face/user18/7-1-3,Skeleton/0_Wash_face/user18/7-1-3,IMU/0_Wash_face/user18/7-1-3,Radar/0_Wash_face/user18/7-1-3,1
0_Wash_face/user20/4-2-1,0_Wash_face,0,user20,4-2-1,Depth_Color/0_Wash_face/user20/4-2-1,IR/0_Wash_face/user20/4-2-1,Thermal/0_Wash_face/user20/4-2-1,Skeleton/0_Wash_face/user20/4-2-1,IMU/0_Wash_face/user20/4-2-1,Radar/0_Wash_face/user20/4-2-1,0
0_Wash_face/user20/4-2-2,0_Wash_face,0,user20,4-2-2,Depth_Color/0_Wash_face/user20/4-2-2,IR/0_Wash_face/user20/4-2-2,Thermal/0_Wash_face/user20/4-2-2,Skeleton/0_Wash_face/user20/4-2-2,IMU/0_Wash_face/user20/4-2-2,Radar/0_Wash_face/user20/4-2-2,0
0_Wash_face/user20/4-2-3,0_Wash_face,0,user20,4-2-3,Depth_Color/0_Wash_face/user20/4-2-3,IR/0_Wash_face/user20/4-2-3,Thermal/0_Wash_face/user20/4-2-3,Skeleton/0_Wash_face/user20/4-2-3,IMU/0_Wash_face/user20/4-2-3,Radar/0_Wash_face/user20/4-2-3,0
0_Wash_face/user21/1-1-1,0_Wash_face,0,user21,1-1-1,Depth_Color/0_Wash_face/user21/1-1-1,IR/0_Wash_face/user21/1-1-1,Thermal/0_Wash_face/user21/1-1-1,Skeleton/0_Wash_face/user21/1-1-1,IMU/0_Wash_face/user21/1-1-1,Radar/0_Wash_face/user21/1-1-1,0
